forecast_date,day_name,is_weekend,cluster,cluster_enc,day_of_week,week,avg_priority,peak_hour_frac,rolling_7_mean,rolling_7_std,rolling_7_max,spike_probability,predicted_spike,top_junction,risk_score,risk_tier,center_lat,center_lon,alert_level,recommended_deploy_hour,dispatch_instruction
2024-04-09,Tue,0,587,542,1,15,2.65625,0.65625,4.5,2.886751345948129,8,0.667,1,No Junction,4.07,🟠 HIGH,12.945737594444443,77.5871045388889,🟠 HIGH,19,⚠️ DEPLOY 1 unit at 19:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,444,384,1,15,5.707875457875458,0.2857142857142857,4.428571428571429,4.68533680244878,13,0.666,1,No Junction,5.49,🟠 HIGH,12.981165970967742,77.62856672258064,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,744,717,1,15,2.8857142857142857,0.0,2.0,1.4142135623730951,5,0.666,1,No Junction,4.93,🟠 HIGH,13.068124248148148,77.62939568518517,🟠 HIGH,2,⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,357,287,1,15,2.0,0.0,1.1428571428571428,0.37796447300922725,2,0.666,1,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",4.78,🟠 HIGH,12.978224734375,77.553216484375,🟠 HIGH,6,"⚠️ DEPLOY 1 unit at 6:00. Issue penalties. Zone: BTP062 - Basava Mantapa, Dr. Rajkumar Road"
2024-04-09,Tue,0,182,93,1,15,2.3567254174397028,0.20088126159554728,5.142857142857143,3.760699023168052,11,0.666,1,BTP030 - Mekhri Circle,6.63,🟠 HIGH,13.011020938775513,77.58360971632654,🟠 HIGH,19,⚠️ DEPLOY 1 unit at 19:00. Issue penalties. Zone: BTP030 - Mekhri Circle
2024-04-09,Tue,0,222,138,1,15,3.134920634920635,0.15873015873015875,6.0,5.8594652770823155,18,0.665,1,No Junction,7.06,🔴 CRITICAL,12.97140396851725,77.71199811215577,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,846,830,1,15,2.5,0.25,3.75,3.593976442141304,9,0.665,1,BTP028 - Vijayanagar Bus Stand Junction,3.76,🟡 MEDIUM,12.973823093333332,77.53847078666666,🟠 HIGH,5,⚠️ DEPLOY 1 unit at 5:00. Issue penalties. Zone: BTP028 - Vijayanagar Bus Stand Junction
2024-04-09,Tue,0,584,539,1,15,2.397959183673469,0.0,4.714285714285714,4.347960660443227,13,0.665,1,No Junction,4.28,🟠 HIGH,12.988966274468083,77.60890865106383,🟠 HIGH,6,⚠️ DEPLOY 1 unit at 6:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,193,105,1,15,2.9685374149659864,0.3078231292517007,9.857142857142858,14.960264830861911,42,0.664,1,BTP041 - Gopal Gowda Circle,7.68,🔴 CRITICAL,12.977458990967742,77.59108022000001,🟠 HIGH,3,⚠️ DEPLOY 1 unit at 3:00. Issue penalties. Zone: BTP041 - Gopal Gowda Circle
2024-04-09,Tue,0,772,748,1,15,3.8095238095238098,0.45238095238095244,3.857142857142857,3.532165125838609,10,0.664,1,No Junction,5.7,🟠 HIGH,12.855515928125,77.66433365,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,168,77,1,15,2.0714285714285716,0.0,3.0,1.4142135623730951,5,0.663,1,No Junction,6.27,🟠 HIGH,12.876400798275862,77.59543959525863,🟠 HIGH,6,⚠️ DEPLOY 1 unit at 6:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,243,161,1,15,2.125,0.125,24.142857142857142,19.93680492145596,49,0.662,1,"BTP189 - New Diagonal Road, Jayanagar",6.13,🟠 HIGH,12.928626698201798,77.58098399090909,🟠 HIGH,4,"⚠️ DEPLOY 1 unit at 4:00. Issue penalties. Zone: BTP189 - New Diagonal Road, Jayanagar"
2024-04-09,Tue,0,295,218,1,15,2.4285714285714284,0.0,3.0,1.8257418583505538,6,0.661,1,No Junction,6.58,🟠 HIGH,12.978167699443269,77.63928629412409,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,713,683,1,15,2.857142857142857,0.0,1.5714285714285714,0.7867957924694431,3,0.659,1,BTP217 - Baleyele Junction,4.59,🟠 HIGH,12.957171576923075,77.56892611153846,🟠 HIGH,4,⚠️ DEPLOY 1 unit at 4:00. Issue penalties. Zone: BTP217 - Baleyele Junction
2024-04-09,Tue,0,715,685,1,15,2.5357142857142856,0.0,2.142857142857143,1.4638501094227998,4,0.659,1,No Junction,3.44,🟡 MEDIUM,12.9934414,77.60718865263158,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,479,422,1,15,2.4285714285714284,0.0,2.857142857142857,1.864454471471609,6,0.656,1,No Junction,3.24,🟡 MEDIUM,12.974367241463414,77.71091382195121,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,781,758,1,15,2.95,0.2,5.2,3.96232255123179,12,0.655,1,No Junction,4.3,🟠 HIGH,12.986813496153845,77.60848991153847,🟠 HIGH,20,⚠️ DEPLOY 1 unit at 20:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,59,545,1,15,4.307539682539683,0.16071428571428573,5.428571428571429,6.051367417290708,18,0.653,1,"BTP226 - 33rd Cross, 11th Main, Jayanagar",7.75,🔴 CRITICAL,12.927465517753625,77.58599906576086,🟠 HIGH,2,"⚠️ DEPLOY 1 unit at 2:00. Issue penalties. Zone: BTP226 - 33rd Cross, 11th Main, Jayanagar"
2024-04-09,Tue,0,11,13,1,15,2.4285714285714284,0.0,4.285714285714286,2.811540841738193,9,0.653,1,BTP034 - LRDE Junction,5.43,🟠 HIGH,12.98877580173516,77.5921577615872,🟠 HIGH,0,⚠️ DEPLOY 1 unit at 0:00. Issue penalties. Zone: BTP034 - LRDE Junction
2024-04-09,Tue,0,531,481,1,15,2.1666666666666665,0.16666666666666666,7.166666666666667,5.269408568963567,14,0.652,1,No Junction,4.29,🟠 HIGH,12.875454893023257,77.59550115813953,🟠 HIGH,21,⚠️ DEPLOY 1 unit at 21:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,253,172,1,15,2.8214285714285716,0.17857142857142858,6.285714285714286,5.707138387268052,16,0.651,1,No Junction,4.36,🟠 HIGH,13.099652728571428,77.588657544,🟠 HIGH,0,⚠️ DEPLOY 1 unit at 0:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,441,381,1,15,2.0,0.0,1.1428571428571428,0.3779644730092273,2,0.651,1,BTP103 - Shanti Nagar TTMC,3.43,🟡 MEDIUM,12.954282828260869,77.59001699565216,🟠 HIGH,23,⚠️ DEPLOY 1 unit at 23:00. Issue penalties. Zone: BTP103 - Shanti Nagar TTMC
2024-04-09,Tue,0,45,390,1,15,2.0069124423963136,0.0,16.142857142857142,21.49750816124644,62,0.65,1,BTP155 - Katriguppe Junction,6.49,🟠 HIGH,12.926739510559004,77.55080284906832,🟠 HIGH,4,⚠️ DEPLOY 1 unit at 4:00. Issue penalties. Zone: BTP155 - Katriguppe Junction
2024-04-09,Tue,0,245,163,1,15,4.799221611721612,0.15430402930402934,8.571428571428571,11.385036127261415,26,0.65,1,No Junction,7.37,🔴 CRITICAL,12.951419125192766,77.71749728764328,🟠 HIGH,19,⚠️ DEPLOY 1 unit at 19:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,46,401,1,15,2.261904761904762,0.2619047619047619,6.142857142857143,4.298393941484479,12,0.646,1,No Junction,5.62,🟠 HIGH,13.03529960373789,77.58902305058348,🟠 HIGH,22,⚠️ DEPLOY 1 unit at 22:00. Issue penalties. Zone: No Junction
2024-04-09,Tue,0,24,157,1,15,2.264835164835165,0.26483516483516484,6.285714285714286,4.990467102863409,13,0.645,1,No Junction,5.8,🟠 HIGH,12.925961181992752,77.67648393543482,🟠 HIGH,20,⚠️ DEPLOY 1 unit at 20:00. Issue penalties. Zone: No Junction
